"","mpa","species.count","area","entropy","lat","mainentropy","subentropy","nthreat","nmainthreat","nsubthreat","nFisheriesthreat","pFisheriesthreat","PA_DEF","NAME","DESIG","DESIG_ENG","DESIG_TYPE","IUCN_CAT","GIS_M_AREA","NO_TAKE","NO_TK_AREA","STATUS","STATUS_YR","GOV_TYPE","OWN_TYPE","MANG_AUTH","MANG_PLAN","MARINE","PARENT_ISO","CONS_OBJ","calc.area","smod.count","smod.city","smod.town","smod.semiDenseTown","smod.suburbs","smod.village","smod.rural","smod.uninhabited","smod.water","AIS.commercial","AIS.fishing","AIS.global","AIS.leisure","AIS.oilgas","AIS.passenger","cropland.2019","lon","cropland.2019.area.km2","fish.aesthetics.max","fish.aesthetics.mean","fish.aesthetics.sd","fish.aesthetics.count","trawlers_2012_2020","tuna_purse_seines_2012_2020","fishing_2012_2020","purse_seines_2012_2020","drifting_longlines_2012_2020","set_longlines_2012_2020","squid_jigger_2012_2020","set_gillnets_2012_2020","pots_and_traps_2012_2020","trollers_2012_2020","dredge_fishing_2012_2020","pole_and_line_2012_2020","other_seines_2012_2020","seiners_2012_2020","other_purse_seines_2012_2020","mpa.1","mpa.2","trawlers_2019","tuna_purse_seines_2019","fishing_2019","purse_seines_2019","drifting_longlines_2019","set_longlines_2019","squid_jigger_2019","set_gillnets_2019","pots_and_traps_2019","trollers_2019","dredge_fishing_2019","pole_and_line_2019","other_seines_2019","seiners_2019","other_purse_seines_2019","Flickr_userdays_2010_2019","Flickr_userdays_2019","Flickr_user_2010_2019","Flickr_photos_2010_2019","Flickr_photos_2019","total_N_effluent_2015","bivalve_production","crustaceans_production","marine_fish_general_production","salmon_production","shrimp_production","tuna_production","Flickr_user_2019","ISO3","SUB_LOC","region_name","OHI.score.2021.AO","OHI.score.2021.BD","OHI.score.2021.CP","OHI.score.2021.CS","OHI.score.2021.CW","OHI.score.2021.ECO","OHI.score.2021.FIS","OHI.score.2021.FP","OHI.score.2021.HAB","OHI.score.2021.ICO","OHI.score.2021.Index","OHI.score.2021.LE","OHI.score.2021.LIV","OHI.score.2021.LSP","OHI.score.2021.MAR","OHI.score.2021.NP","OHI.score.2021.SP","OHI.score.2021.SPP","OHI.score.2021.TR","OHI.trend.2021.AO","OHI.trend.2021.BD","OHI.trend.2021.CP","OHI.trend.2021.CS","OHI.trend.2021.CW","OHI.trend.2021.ECO","OHI.trend.2021.FIS","OHI.trend.2021.FP","OHI.trend.2021.HAB","OHI.trend.2021.ICO","OHI.trend.2021.LE","OHI.trend.2021.LIV","OHI.trend.2021.LSP","OHI.trend.2021.MAR","OHI.trend.2021.NP","OHI.trend.2021.SP","OHI.trend.2021.SPP","OHI.trend.2021.TR"
"1","1",1436,14.6361351589,4.93199869005963,17.1950121653301,2.78154378432844,4.13744366240272,70,11,38,399,0.277855153203343,"1","Diamond Reef and Salt Fish Tail Reef","Marine Reserve","Marine Reserve","National","Ia",14.6361351589,"All",14.572487,"Designated",1973,"Federal or national ministry or agency","State","Fisheries Division","Not Reported","2","ATG","Not Applicable",14636166.6422755,36,0,0,0,0,0,0,0,36,5878111.5,0,8112420.5,2234308.75,0,0,0,-61.8558954833089,0,1980,1487.10152284264,147.959970619869,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1397299.25,0,0,0,0,0,0,1,"ATG","AG-04","Antigua and Barbuda",100,75.6,73.49,98.18,59.12,83.4,55.58,55.58,73.49,64.53,78.72,91.7,100,92.07,0,64.47,78.3,77.71,90.74,0,-0.03,-0.05,0.09,0,0.17,0,0,-0.03,0.01,0.58,1,0,0,-0.04,0,-0.03,0.02
"484","10028",1275,85.100620572775,4.68396244314277,5.9000853819284,2.86089563051583,4.05418444104276,70,12,38,616,0.483137254901961,"1","Pulau Perhentian Besar Marine Park","Marine Park","Marine Park","National","II",85.100620572775,"All",0.5,"Designated",1999,"Federal or national ministry or agency","State","Department of Fisheries (DOF)","Not Reported","2","MYS","Not Applicable",89808916.869506,146,0,0,0,0,12,5,4,125,93028608,0.075010322034359,97838128,4809516.5,0,0,0,102.758174273061,0,1947,1469.41876208897,143.717035619363,1034,0,0,45.1183676719666,0,0,0,0,0,0,0,0,0,0,0,0,"10028","10028",0,0,38.0960083007812,0,0,0,0,0,0,0,0,0,0,0,0,265,3,129,1543,5,486313.34375,0,0,0,0,0,0,3,"MYS","MY-11","Malaysia",67.84,84.62,86.86,81.2,72.88,68.36,54.5,48.43,86.22,55.3,69.67,77.8,87.24,51.94,0.62,67.46,53.62,83.02,56.04,0,-0.02,0,-0.02,0.21,-0.03,-0.04,-0.08,-0.02,-0.01,0.48,1,0,-0.41,-0.07,-0.01,-0.02,0
"485","10072",848,1.45826976859698,4.64295933155488,5.818658522416,2.89832855448043,4.05277003123634,70,12,38,424,0.5,"1","Sepilok (Mangrove)","Forest Reserve","Forest Reserve","National","Ia",1.45826976859698,"Not Reported",0,"Designated",1984,"Sub-national ministry or agency","Not Reported","Sabah Forestry Department (SFD) / Sabah Foundation","Not Reported","1","MYS","Not Applicable",11303613.6366237,42,0,0,0,0,0,1,37,4,0,0,0,0,0,0,0,117.953092203359,0,1947,1503.27868852459,142.062685182801,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10072","10072",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,10,0,64993.65625,31.9836101531982,0,97.7001113891602,0,37.9875907897949,0,0,"MYS","Not Reported","Malaysia",67.84,84.62,86.86,81.2,72.88,68.36,54.5,48.43,86.22,55.3,69.67,77.8,87.24,51.94,0.62,67.46,53.62,83.02,56.04,0,-0.02,0,-0.02,0.21,-0.03,-0.04,-0.08,-0.02,-0.01,0.48,1,0,-0.41,-0.07,-0.01,-0.02,0
"1890","100837",1483,0.449797992089851,4.9251436565386,19.3114221500898,2.77772452137933,4.12374530682406,68,11,36,349,0.235333782872556,"1","Pageant Beach Replenishment Zone","Replenishment Zone","Replenishment Zone","National","IV",0.449797992089851,"None",0,"Designated",1986,"Federal or national ministry or agency","State","Department of Environment, Cayman Islands Government","Not Reported","2","GBR","Not Applicable",483739.15904059,7,0,0,5,0,0,0,0,2,25276724,0,26447788,1170831.125,0,233.620544433594,0,-81.3906342895827,0,1980,1495.0582010582,148.146139030056,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100837","100837",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,5,106,1727,5,60880.875,0,0,0,0,0,0,4,"CYM","KY","Cayman Islands",77.79,80.63,64.54,96.2,50.55,99.67,39.25,39.25,85.39,57.65,71.81,99.83,100,29.51,0,NA,43.58,75.88,93.89,-0.04,-0.02,-0.02,0.03,-0.04,-0.01,-0.11,-0.11,0,0,0.5,1,0,0,NA,0,-0.04,0.07
"486","10098",976,1.71683928429099,4.70477124483419,3.33042786315193,2.859830787763,4.06872457127796,70,12,38,491,0.503073770491803,"1","Kuala Selangor","Nature Park","Nature Park","National","II",1.71683928429099,"Not Reported",0,"Designated",1997,"Government-delegated management","Not Reported","Kuala Selangor District Council / Malaysian Nature Society (MNS)","Not Reported","1","MYS","Not Applicable",2593212.47174173,14,0,2,0,4,0,1,6,1,0,0,0,0,0,0,0,101.241453386177,0,1947,1488.73755656109,145.714458917565,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10098","10098",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,7,7,139130.9375,0,0,0,0,0,0,1,"MYS","Not Reported","Malaysia",67.84,84.62,86.86,81.2,72.88,68.36,54.5,48.43,86.22,55.3,69.67,77.8,87.24,51.94,0.62,67.46,53.62,83.02,56.04,0,-0.02,0,-0.02,0.21,-0.03,-0.04,-0.08,-0.02,-0.01,0.48,1,0,-0.41,-0.07,-0.01,-0.02,0
"82","1010",166,2324.71473449405,4.62787774280064,58.7974715592611,2.66253080374703,3.86623500530017,48,11,31,73,0.439759036144578,"1","Glacier Bay National Park & Preserve","Marine Protected Area","Marine Protected Area","National","Not Reported",2324.71473449405,"None",0,"Designated",1925,"Federal or national ministry or agency","State","National Park Service","Not Reported","1","USA","Not Applicable",13218112168.3808,14356,0,0,0,0,0,0,11469,2887,7304212992,2787988,9083117568,1776092800,0,23725.65625,0,-136.833233829643,0,1632,1393.9,120.576808162543,10,208.833660125732,0,760.043747901917,2.1830472946167,0,140.664546489716,0,0,4.07441415637732,0.00516703398898244,0,0,0,0,612.648582339287,"1010","1010",23.7758007049561,0,44.9693641662598,0,0,18.0579605102539,0,0,0,0,0,0,0,0,87.9550170898438,379,34,274,8351,738,96254.7890625,361.258605957031,0,0,0,0,0,24,"USA","US-AK","United States",78.07,73.38,71.47,72.86,80.87,99.91,65.57,62.76,69.61,60.72,72.9,75.7,51.49,80,1,98.25,70.36,77.14,45.29,-0.09,-0.05,-0.07,-0.04,-0.02,0.07,-0.11,-0.1,-0.07,0.01,-0.34,-0.75,0,0.13,0.02,0,-0.02,0
"487","10111",2429,20.3200054754328,4.64756057430933,8.69281434860778,2.85857033784442,4.02691514253719,70,12,38,1007,0.414573898723755,"1","Con Dao","Vu<U+1EDD>n qu<U+1ED1>c gia","National Park","National","II",20.3200054754328,"Not Reported",0,"Designated",1993,"Government-delegated management","Not Reported","People's Committee of Ba Ria Vung Tau","Not Reported","1","VNM","Not Applicable",73047140.7250398,173,0,0,0,0,0,63,100,10,10759264,0,10759264,0,0,0,71,106.611200968885,0.054236542185759,1966,1527.37138508371,150.004661421674,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10111","10111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,5,68,1688,85,191388.578125,0,0,0,0,0,0,3,"VNM","VN-43","Vietnam",81.2,80.6,66.73,58.64,47.3,85.23,59.17,40.53,77.37,60.47,61.92,74.27,63.32,82.6,10.13,59.23,71.54,83.84,39.12,-0.01,-0.03,-0.01,-0.02,-0.07,-0.09,0,0.18,-0.03,0,-0.54,-1,0,0.48,-0.06,0,-0.02,0.01
"1891","101165",516,0.89609702100285,4.60974749941596,10.9568082038514,2.41969115885167,3.78043659710764,65,11,35,225,0.436046511627907,"1","Laguna Blanca o del Morro","Zona Protectora (ZP)","Protective Zone (ZP)","National","VI",0.89609702100285,"Not Reported",0,"Designated",1992,"Federal or national ministry or agency","Multiple ownership","Ministerio del Poder Popular para el Ecosocialismo (MINEC)","No","1","VEN","Not Applicable",2218084.18344146,13,7,0,0,3,0,1,0,2,0,0,0,0,0,0,0,-63.8212200589384,0,1833,1445.0987654321,153.100588253138,81,0,0,4.82327341160271e-05,0,0,0,0,0,0,0,0,0,0,0,0,"101165","101165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,126813.890625,0,0,0,0,0,0,1,"VEN","VEN-N","Venezuela",90.45,81.57,84.1,89.07,65.8,95.48,57.94,45.28,83.07,64.71,73.66,82.81,70.14,96.94,0.42,99.32,80.82,80.06,17.39,0.29,-0.02,-0.01,0,0,-0.06,0.18,0.17,-0.01,0,0.4,0.85,0,0.17,0.02,0,-0.02,-0.05
"1892","101174",1500,63.4967225533188,4.89345986015352,11.3932518831692,2.73860566387759,4.08223128370028,69,11,37,455,0.303333333333333,"1","Hueque - Sauca","Reserva de Fauna Silvestre (REFA)","Wildlife Reserve (REFA)","National","IV",63.4967225533188,"Not Reported",0,"Designated",2005,"Federal or national ministry or agency","Multiple ownership","Ministerio del Poder Popular para el Ecosocialismo (MINEC)","No","1","VEN","Not Applicable",372815529.869096,469,0,0,0,0,0,5,368,96,0,0,0,0,0,0,0,-68.9395996291375,0,1980,1483.88118811881,148.371242545521,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"101174","101174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,880777.9375,0,0,0,0,0,0,0,"VEN","VEN-F; VEN-TE","Venezuela",90.45,81.57,84.1,89.07,65.8,95.48,57.94,45.28,83.07,64.71,73.66,82.81,70.14,96.94,0.42,99.32,80.82,80.06,17.39,0.29,-0.02,-0.01,0,0,-0.06,0.18,0.17,-0.01,0,0.4,0.85,0,0.17,0.02,0,-0.02,-0.05
"1893","101225",2,28.7722521565674,2,59.6766186208215,1.58496250072116,1.58496250072116,4,3,3,1,0.5,"1","Uhtju Looduskaitseala","Looduskaitseala","Nature reserve","National","Not Reported",28.7722521565674,"Not Reported",0,"Designated",2018,"Federal or national ministry or agency","Not Reported","Ministry of Environment, Narva mnt 7a, Tallinn, Estonia","Not Reported","2","EST","Not Applicable",29387333.3181805,56,0,0,0,0,0,1,4,51,441916864,11.5056505203247,441916864,0,0,0,9,26.5183686654463,0.00351141315744051,NA,NA,NA,0,11.3881161212921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"101225","101225",2.70563125610352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533696.375,0,0,0,0,0,0,0,"EST","Not Reported","Estonia",90.96,80.26,62.67,74.62,72.75,100,90.58,87.81,75.77,91.85,77.78,73.81,47.62,100,0.56,99.69,95.92,84.74,39.29,0,-0.04,-0.08,-0.02,-0.06,0.04,-0.02,0.01,-0.06,0.01,-0.48,-1,0,1,0,0,-0.02,0.07
