"resource.type","CELEX","search.term"
"DIR","32013L0030","barcelona convention*?"
"DIR","32008L0056","habitats directive*?"
"DIR","32000L0060","habitats directive*?"
"DIR","31992L0043","habitats directive*?"
"DIR","31992L0043","sites of community importance*?"
"DIR","32008L0056","special areas of conservation*?"
"DIR","32013L0030","special areas of conservation*?"
"DIR","31992L0043","special areas of conservation*?"
"DIR","32010L0060","special areas of conservation*?"
"DIR","32013L0017","special areas of conservation*?"
"DIR","32006L0105","special areas of conservation*?"
"DIR","31997L0062","special areas of conservation*?"
"DIR","32009L0147","birds directive*?"
"DIR","32008L0056","birds directive*?"
"DIR","32000L0060","birds directive*?"
"DIR","32008L0099","special protection area*?"
"DIR","32008L0056","special protection area*?"
"DIR","32011L0092","special protection area*?"
"DIR","32009L0147","special protection area*?"
"DIR","32013L0030","special protection area*?"
"DIR","31990L0656","special protection area*?"
"DIR","31992L0043","special protection area*?"
"DIR","31979L0409","special protection area*?"
"DIR","31997L0011","special protection area*?"
"DIR","32009L0031","ospar*?"
"DIR","32002L0045","ospar*?"
"DIR","32008L0056","marine protected area*?"
"DIR","32013L0030","marine protected area*?"
"REG","32013R1253","world heritage site*?"
"REG","32011R0102","world heritage site*?"
"REG","32006R2038","barcelona convention*?"
"REG","32015R2102","barcelona convention*?"
"REG","32013R0100","barcelona convention*?"
"REG","32006R1967","barcelona convention*?"
"REG","32004R0724","barcelona convention*?"
"REG","32006R1967R(01)","barcelona convention*?"
"REG","32019R1010","habitats directive*?"
"REG","32010R1089","habitats directive*?"
"REG","31997R0338","habitats directive*?"
"REG","32016R0246","habitats directive*?"
"REG","32013R1253","habitats directive*?"
"REG","32010R0709","habitats directive*?"
"REG","32009R0407","habitats directive*?"
"REG","32008R0318","habitats directive*?"
"REG","32005R1332","habitats directive*?"
"REG","32003R1497","habitats directive*?"
"REG","32000R2724","habitats directive*?"
"REG","31997R2307","habitats directive*?"
"REG","32007R0614","sites of community importance*?"
"REG","32013R1380","special areas of conservation*?"
"REG","32011R0142","special areas of conservation*?"
"REG","32013R0750","special areas of conservation*?"
"REG","32004R0602","special areas of conservation*?"
"REG","32003R1475","special areas of conservation*?"
"REG","31997R0338","birds directive*?"
"REG","32010R0709","birds directive*?"
"REG","32009R0407","birds directive*?"
