"resource.type","CELEX","url","work","type","date","force","eurovoc","citationcelex","labels"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2825","32000D0340","environmental protection"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2825","32002R2371","environmental protection"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2825","32000L0060","environmental protection"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2825","32000X1218(01)","environmental protection"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2825","31992L0043","environmental protection"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2825","31979L0409","environmental protection"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2825","31999D0468","environmental protection"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2825","32003L0004","environmental protection"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2825","32007L0002","environmental protection"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2825","31991L0271","environmental protection"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2825","31998D0392","environmental protection"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2825","31977D0585","environmental protection"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2825","32002D1600","environmental protection"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2825","31983D0101","environmental protection"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2825","32006L0007","environmental protection"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2825","31999D0802","environmental protection"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2825","31998D0249","environmental protection"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2825","31994D0157","environmental protection"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2825","31999D0801","environmental protection"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2825","31993D0626","environmental protection"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2535","32000D0340","marine pollution"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2535","32002R2371","marine pollution"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2535","32000L0060","marine pollution"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2535","32000X1218(01)","marine pollution"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2535","31992L0043","marine pollution"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2535","31979L0409","marine pollution"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2535","31999D0468","marine pollution"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2535","32003L0004","marine pollution"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2535","32007L0002","marine pollution"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2535","31991L0271","marine pollution"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2535","31998D0392","marine pollution"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2535","31977D0585","marine pollution"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2535","32002D1600","marine pollution"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2535","31983D0101","marine pollution"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2535","32006L0007","marine pollution"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2535","31999D0802","marine pollution"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2535","31998D0249","marine pollution"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2535","31994D0157","marine pollution"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2535","31999D0801","marine pollution"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2535","31993D0626","marine pollution"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/5413","32000D0340","EU action"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2611","32000D0340","prevention of pollution"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/5413","32002R2371","EU action"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2611","32002R2371","prevention of pollution"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/5413","32000L0060","EU action"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2611","32000L0060","prevention of pollution"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/5413","32000X1218(01)","EU action"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2611","32000X1218(01)","prevention of pollution"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/5413","31992L0043","EU action"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2611","31992L0043","prevention of pollution"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/5413","31979L0409","EU action"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2611","31979L0409","prevention of pollution"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/5413","31999D0468","EU action"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2611","31999D0468","prevention of pollution"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/5413","32003L0004","EU action"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2611","32003L0004","prevention of pollution"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/5413","32007L0002","EU action"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2611","32007L0002","prevention of pollution"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/5413","31991L0271","EU action"
"DIR","32008L0056","http://publications.europa.eu/resource/celex/32008L0056","http://publications.europa.eu/resource/cellar/6a6b2a43-24c4-47b6-a602-40ca8c461a82","http://publications.europa.eu/resource/authority/resource-type/DIR","2008-06-17","true","http://eurovoc.europa.eu/2611","31991L0271","prevention of pollution"
