"Title","Subtitle","CELEX number","Initiating document","Procedure reference","Initial reference","Adopted acts","Latest consolidated version","Procedure status","ECLI identifier","Transposed legal act(s)","Date of document","Author","In force indicator","Publication Reference",
"Treaty between the Kingdom of Belgium, the Kingdom of Denmark, the Federal Republic of Germany, the Hellenic Republic, the Kingdom of Spain, the French Republic, Ireland, the Italian Republic, the Grand Duchy of Luxembourg, the Kingdom of the Netherlands, the Republic of Austria, the Portuguese Republic, the Republic of Finland, the Kingdom of Sweden, the United Kingdom of Great Britain and Northern Ireland (Member States of the European Union) and the Czech Republic, the Republic of Estonia, the Republic of Cyprus, the Republic of Latvia, the Republic of Lithuania, the Republic of Hungary, the Republic of Malta, the Republic of Poland, the Republic of Slovenia, the Slovak Republic, concerning the accession of the Czech Republic, the Republic of Estonia, the Republic of Cyprus, the Republic of Latvia, the Republic of Lithuania, the Republic of Hungary, the Republic of Malta, the Republic of Poland, the Republic of Slovenia and the Slovak Republic to the European Union","","12003T/TXT","","","","","",,"","","2003-04-16","Hungary, Cyprus, Czechia, Slovenia, Latvia, Slovakia, Poland, Estonia, Malta, The fifteen Member States: Belgium, Denmark, Germany, Ireland, Greece, Spain, France, Italy, Luxembourg, Netherlands, Austria, Portugal, Finland, Sweden, United Kingdom, Lithuania","true","OJ L 236, 23/09/2003, p. 17–930
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"ACT concerning the conditions of accession of the Kingdom of Norway, the Republic of Austria, the Republic of Finland and the Kingdom of Sweden and the adjustments to the Treaties on which the European Union is founded, Contents","","11994N/TXT","","","","","",,"","","1994-06-24","Norway, Austria, The twelve Member States: Belgium, Denmark, Germany, Ireland, Greece, Spain, France, Italy, Luxembourg, Netherlands, Portugal, United Kingdom, Finland, Sweden","true","OJ C 241, 29/08/1994, p. 9–404
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"Consolidated versions of the Treaty on European Union and the Treaty on the Functioning of the European Union Consolidated version of the Treaty on European Union Consolidated version of the Treaty on the Functioning of the European Union Protocols Annexes to the Treaty on the Functioning of the European Union Declarations annexed to the Final Act of the Intergovernmental Conference which adopted the Treaty of Lisbon, signed on 13 December 2007 Tables of equivalences","","12016ME/TXT","","","","","",,"","","2016-06-07","The Member States","","OJ C 202, 07/06/2016, p. 1–388
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Consolidated version of the Treaty on the Functioning of the European Union","","12016E/TXT","","","","","",,"","","2016-06-07","EUMS","true","",
"Consolidated version of the Treaty on the Functioning of the European Union","","12012E/TXT","","","","","",,"","","2012-10-26","The Member States","true","OJ C 326, 26/10/2012, p. 47–390
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), OJ C 326, 26/10/2012, p. 47–390
		 (GA)",
"Consolidated version of the Treaty on the Functioning of the European Union","","12010E/TXT","","","","","",,"","","2010-03-30","The Member States","true","OJ C 83, 30/03/2010, p. 47–403
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Consolidated version of the Treaty on the Functioning of the European Union","","12008E/TXT","","","","","",,"","","2008-05-09","The Member States","true","OJ C 115, 09/05/2008, p. 47–388
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Treaty establishing the European Community (Consolidated version 2006)","","12006E/TXT","","","","","",,"","","2006-12-29","The Member States","true","OJ C 321E , 29/12/2006, p. 37–186
		 (ES, CS, DA, DE, ET, EL, EN, FR, GA, IT, LV, LT, HU, MT, NL, PL, PT, SK, SL, FI, SV)",
"Treaty of Lisbon amending the Treaty on European Union and the Treaty establishing the European Community, signed at Lisbon, 13 December 2007","","12007L/TXT","","","","","",,"","","2007-12-13","The Member States","true","OJ C 306, 17/12/2007, p. 1–271
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Consolidated version of the Treaty on European Union","","12010M/TXT","","","","","",,"","","2010-03-30","The Member States","true","OJ C 83, 30/03/2010, p. 13–45
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Documents concerning the accession to the European Communities of the Kingdom of Denmark, Ireland, the Kingdom of Norway and the United Kingdom of Great Britain and Northern Ireland","","11972B/TXT","","","","","",,"","","1972-01-22","Norway, The six Member States: Belgium, Germany, France, Italy, Luxembourg, Netherlands, Denmark, United Kingdom, Ireland","true","OJ L 73, 27/03/1972, p. 5–204
		 (DA, DE, EN, FR, IT, NL)",
"Treaty establishing a Constitution for Europe#Protocols and Annexes#FINAL ACT","","C2004/310/01","","","","","",,"","","2004-12-16","The Member States","","OJ C 310, 16/12/2004, p. 1–474
		 (ES, CS, DA, DE, ET, EL, EN, FR, GA, IT, LV, LT, HU, MT, NL, PL, PT, SK, SL, FI, SV)",
"Consolidated version of the Treaty on the Functioning of the European Union","","12010E","","","","","",,"","","1957-03-25","The Member States","true","OJ C 83, 30/03/2010, p. 47–403
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Act concerning the conditions of accession of the Kingdom of Norway, the Republic of Austria, the Republic of Finland and the Kingdom of Sweden and the adjustments to the Treaties on which the European Union is founded","","11994N/ACT","","","","","",,"","","1994-06-24","Austria, The twelve Member States: Belgium, Denmark, Germany, Ireland, Greece, Spain, France, Italy, Luxembourg, Netherlands, Portugal, United Kingdom, Finland, Norway, Sweden","true","",
"Treaty of Lisbon amending the Treaty on European Union and the Treaty establishing the European Community, signed at Lisbon, 13 December 2007# PROTOCOLS# A. Protocols to be annexed to the Treaty on European Union, to the Treaty on the Functioning of the European Union and, where applicable, to the Treaty establishing the European Atomic Energy Community# — Protocol on the role of national Parliaments in the European Union# — Protocol on the application of the principles of subsidiarity and proportionality# — Protocol on the Euro Group# — Protocol on permanent structured cooperation established by Article 28 A of the Treaty on European Union# — Protocol relating to Article 6(2) of the Treaty on European Union on the accession of the Union to the European Convention on the Protection of Human Rights and Fundamental Freedoms# — Protocol on the internal market and competition# — Protocol on the application of the Charter of Fundamental Rights of the European Union to Poland and to the United Kingdom# — Protocol on the exercise of shared competence# — Protocol on services of general interest# — Protocol on the Decision of the Council relating to the implementation of Article 9c(4) of the Treaty on European Union and Article 205(2) of the Treaty on the Functionning of the European Union between 1 November 2014 and 31 March 2017 on the one hand, and as from 1 April 2017 on the other# — Protocol on transitional provisions# B. Protocols to be annexed to the Treaty of Lisbon# — Protocol No 1 amending the Protocols annexed to the Treaty on European Union, to the Treaty establishing the European Community and/or to the Treaty establishing the European Atomic Energy Community# — Annex — Tables of equivalences referred to in Article 2 of Protocol (No 1) amending the Protocols annexed to the Treaty on European Union, to the Treaty establishing the European Community and/or to the Treaty establishing the European Atomic Energy Community.# — Protocol No 2 amending the Treaty establishing the European Atomic Energy Community# ANNEX","","C2007/306/01","","","","","",,"","","2007-12-17","The Member States","","OJ C 306, 17/12/2007, p. 1–229
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
