Rank;DokumentType;Titel;PopulærTitel;Ressort;AdministrerendeMyndighed;JournalNummer;Nummer;År;DokumentId;ACCN;Publiceringsmedie;UndtagetFraOffentliggørelse;GeografiskDækning;UnderskriftDato;PubliceretTidspunkt;SidstPubliceretTidspunkt;BekendtgørelsesDato;HistoriskDato;Historisk;RedaktionelNote;OmtryksNote;AlternativeMedierNote;AnfoerINote;HjemmelVedroerer;SenereAendringer;ÆndrerI;Tiltræder;EliUrl
A;Lov;Lov om Hav-, Fiskeri- og Akvakulturfonden;;Ministeriet for Fødevarer, Landbrug og Fiskeri;Fiskeristyrelsen;Ministeriet for Fødevarer, Landbrug og Fiskeri, j.nr. 2021-1999;2584;2021;DC000470;A20210258430;Lovtidende A;;Fremgår af forskriften;20211228;20211229;20211229;20211229;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/lta/2021/2584
B;Bekendtgørelse;Bekendtgørelse om fiskeri i Københavns Havn;;Ministeriet for Fødevarer, Landbrug og Fiskeri;Fødevarestyrelsen;Ministeriet for Fødevarer, Landbrug og Fiskeri,\nFødevarestyrelsen, j.nr. 2021-29-31-00339;924;2022;DC000610;B20220092405;Lovtidende A;;Fremgår af forskriften;20220620;20220622;20220622;20220622;;FALSE;;;;;A20220000829;;;;https://www.retsinformation.dk/eli/lta/2022/924
B;Bekendtgørelse;Bekendtgørelse om fiskeri og fredningsbælter omkring Sjælland;Sjællandsbekendtgørelsen;Ministeriet for Fødevarer, Landbrug og Fiskeri;Ministeriet for Fødevarer, Landbrug og Fiskeri;Ministeriet for Fødevarer, Landbrug og Fiskeri, j.nr. 2021-1936;1413;2021;DC000274;B20210141305;Lovtidende A;;Fremgår af forskriften;20210623;20210629;20210629;20210629;;FALSE;;;;;A20190026129;;;;https://www.retsinformation.dk/eli/lta/2021/1413
B;Bekendtgørelse;Bekendtgørelse om fiskeri og fredningsbælter i Nissum Fjord;;Ministeriet for Fødevarer, Landbrug og Fiskeri;Ministeriet for Fødevarer, Landbrug og Fiskeri;Ministeriet for Fødevarer, Landbrug og Fiskeri, j.nr. 2021-2151;1311;2021;DC000256;B20210131105;Lovtidende A;;Fremgår af forskriften;20210614;20210619;20210619;20210619;;FALSE;;;;;A20190026129;;;;https://www.retsinformation.dk/eli/lta/2021/1311
A;Lovbekendtgørelse;Bekendtgørelse af lov om fiskeri og fiskeopdræt (fiskeriloven);Fiskeriloven;Ministeriet for Fødevarer, Landbrug og Fiskeri;;Udenrigsmin., j.nr. 2018-46737;261;2019;AS001864;A20190026129;Lovtidende A;;Fremgår af forskriften;20190321;20190323;20190323;20190323;;FALSE;;;;;;LOV nr 558 af 07/05/2019,LOV nr 559 af 07/05/2019,LOV nr 126 af 30/01/2021,LOV nr 844 af 10/05/2021;;;https://www.retsinformation.dk/eli/lta/2019/261
B;Bekendtgørelse;Bekendtgørelse om regulering af fiskeri efter muslinger og østers;Muslinge- og østersbekendtgørelsen;Ministeriet for Fødevarer, Landbrug og Fiskeri;Ministeriet for Fødevarer, Landbrug og Fiskeri;Ministeriet for Fødevarer, Landbrug og Fiskeri, j.nr. 2021-7171;2298;2021;DC000385;B20210229805;Lovtidende A;;Fremgår af forskriften;20211203;20211208;20211208;20211208;;FALSE;;;;;A20190026129;;;;https://www.retsinformation.dk/eli/lta/2021/2298
B;Bekendtgørelse;Bekendtgørelse om tilskud til fiskeri, natur og miljø;;Ministeriet for Fødevarer, Landbrug og Fiskeri;;Ministeriet for Fødevarer, Landbrug og Fiskeri,\n Fiskeristyrelsen, j.nr. 21-2501-000001;254;2022;DC000514;B20220025405;Lovtidende A;;Fremgår af forskriften;20220224;20220226;20220226;20220226;;FALSE;;;;;A20170001929;;;;https://www.retsinformation.dk/eli/lta/2022/254
B;Bekendtgørelse;Bekendtgørelse om tilskud til dataindsamling for fiskeri- og akvakultursektoren;;Ministeriet for Fødevarer, Landbrug og Fiskeri;;Ministeriet for Fødevarer, Landbrug og Fiskeri,\nFiskeristyrelsen, j.nr. 21-25080-000001 ;1855;2021;DC000330;B20210185505;Lovtidende A;;Fremgår af forskriften;20210922;20210928;20220413;20210928;;FALSE;;;;;A20220904516;;;;https://www.retsinformation.dk/eli/lta/2021/1855
B;Bekendtgørelse;Bekendtgørelse om fartøjer, der anvendes til erhvervsmæssigt fiskeri i saltvand;Kapacitetsbekendtgørelsen;Ministeriet for Fødevarer, Landbrug og Fiskeri;Ministeriet for Fødevarer, Landbrug og Fiskeri;Ministeriet for Fødevarer, Landbrug og Fiskeri, j.nr. 2020-907;1302;2021;DC000263;B20210130205;Lovtidende A;;Fremgår af forskriften;20210615;20210618;20210618;20210618;;FALSE;;;;;A20190026129;;;;https://www.retsinformation.dk/eli/lta/2021/1302
B;Bekendtgørelse;Bekendtgørelse om tilskud til fælles indsatser fiskeri;;Ministeriet for Fødevarer, Landbrug og Fiskeri;Fiskeristyrelsen;Miljø- og Fødevaremin.,\nFiskeristyrelsen, j.nr. 19-25074-000010;784;2019;CK002119;B20190078405;Lovtidende A;;Fremgår af forskriften;20190808;20190809;20190809;20190809;;FALSE;;;;;A20170001929;;;;https://www.retsinformation.dk/eli/lta/2019/784
B;Bekendtgørelse;Bekendtgørelse om erhvervsmæssigt fiskeri efter hesterejer og rejekonge;Hesterejebekendtgørelsen;Ministeriet for Fødevarer, Landbrug og Fiskeri;NaturErhvervstyrelsen;Miljø- og Fødevaremin., \n NaturErhvervstyrelsen, j.nr. 16-7131-000011;1474;2016;CK001056;B20160147405;Lovtidende A;;Fremgår af forskriften;20161201;20161207;20161207;20161207;;FALSE;;;;;A20190026129;;;;https://www.retsinformation.dk/eli/lta/2016/1474
B;Bekendtgørelse;Bekendtgørelse om forbud mod fiskeri vest for Livø;Livøbekendtgørelsen;Ministeriet for Fødevarer, Landbrug og Fiskeri;;Udenrigsmin., j.nr. 2018-16267;786;2018;AS001784;B20180078605;Lovtidende A;;Fremgår af forskriften;20180608;20180619;20180619;20180619;;FALSE;;;;;A20190026129;;;;https://www.retsinformation.dk/eli/lta/2018/786
B;Bekendtgørelse;Bekendtgørelse om fiskeri og fredningsbælter i Nybøl Nor;Nybøl Nor;Ministeriet for Fødevarer, Landbrug og Fiskeri;NaturErhvervstyrelsen;Miljø- og Fødevaremin.,\n NaturErhvervstyrelsen, j.nr. 15-7440-000005;1258;2016;CK000966;B20160125805;Lovtidende A;;Fremgår af forskriften;20161025;20161029;20161215;20161029;;FALSE;;;;;A20190026129;;;;https://www.retsinformation.dk/eli/lta/2016/1258
B;Bekendtgørelse;Bekendtgørelse om fiskeri og fredningsbælter omkring Lolland, Falster og Møn;;Ministeriet for Fødevarer, Landbrug og Fiskeri;Ministeriet for Fødevarer, Landbrug og Fiskeri;Ministeriet for Fødevarer, Landbrug og Fiskeri, j.nr. 2021-2608;1224;2021;DC000238;B20210122405;Lovtidende A;;Fremgår af forskriften;20210607;20210611;20210611;20210611;;FALSE;;;;;A20190026129;;;;https://www.retsinformation.dk/eli/lta/2021/1224
B;Bekendtgørelse;Bekendtgørelse om visse bestemmelser for fiskeri i Skive-Karup Å;;Ministeriet for Fødevarer, Landbrug og Fiskeri;NaturErhvervstyrelsen;Miljø- og Fødevaremin., \n NaturErhvervstyrelsen, j.nr. 16-7132-000001;487;2016;CK000680;B20160048705;Lovtidende A;;Fremgår af forskriften;20160526;20160531;20160531;20160531;;FALSE;;;;;A20190026129;;;;https://www.retsinformation.dk/eli/lta/2016/487
