Rank;DokumentType;Titel;PopulærTitel;Ressort;AdministrerendeMyndighed;JournalNummer;Nummer;År;DokumentId;ACCN;Publiceringsmedie;UndtagetFraOffentliggørelse;GeografiskDækning;UnderskriftDato;PubliceretTidspunkt;SidstPubliceretTidspunkt;BekendtgørelsesDato;HistoriskDato;Historisk;RedaktionelNote;OmtryksNote;AlternativeMedierNote;AnfoerINote;HjemmelVedroerer;SenereAendringer;ÆndrerI;Tiltræder;EliUrl
A;Lovbekendtgørelse;Bekendtgørelse af lov om jagt og vildtforvaltning;Jagt- og vildtforvaltningsloven;Miljøministeriet;Miljø- og Fødevareministeriet;Miljø- og Fødevaremin., j.nr. 2019-3752;265;2019;CK002016;A20190026529;Lovtidende A;;Fremgår af forskriften;20190321;20190326;20190326;20190326;;FALSE;;;;;;LOV nr 126 af 30/01/2021;;;https://www.retsinformation.dk/eli/lta/2019/265
B;Bekendtgørelse;Bekendtgørelse om jagt og regulering ved brug af rovfugle;Rovfuglejagtbekendtgørelsen;Miljøministeriet;Miljøstyrelsen;Miljø- og Fødevaremin., j.nr. 2018-4647;1072;2018;CK001786;B20180107205;Lovtidende A;;Fremgår af forskriften;20180827;20180829;20200714;20180829;;FALSE;;;;;A20190026529;;;;https://www.retsinformation.dk/eli/lta/2018/1072
B;Bekendtgørelse;Bekendtgørelse om våben og ammunition der må anvendes til jagt m.v.;;Miljøministeriet;Miljøstyrelsen;Miljømin.,\n Miljøstyrelsen,  j.nr. MST-2021-7027;971;2022;DD000197;B20220097105;Lovtidende A;;Fremgår af forskriften;20220621;20220625;20220625;20220625;;FALSE;;;;;A20190026529,A20220024429;;;;https://www.retsinformation.dk/eli/lta/2022/971
C;Cirkulære (2 sp);Vedtægter for Jagt- og Skovbrugsmuseet i Hørsholm;;Miljøministeriet;;Ingen;13015;1946;CM039500;C19461301509;Retsinformation;;Fremgår af forskriften;19460910;19970925;20091217;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/retsinfo/1946/13015
A;Ændringslov;Lov om ændring af lov om kystbeskyttelse, lov om miljøvurdering af planer og programmer og af konkrete projekter (VVM), lov om naturbeskyttelse, lov om jagt og vildtforvaltning og forskellige andre love (Ny kompetencefordeling og forenkling af sagsbehandling i forbindelse med kystbeskyttelse m.v.);;Miljøministeriet;;Miljø- og Fødevaremin., j.nr. 2017-8130;720;2018;CK001687;A20180072030;Lovtidende A;;Fremgår af forskriften;20180608;20180609;20180609;20180609;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/lta/2018/720
B;Bekendtgørelse;Bekendtgørelse om jagttegn;Jagttegnsbekendtgørelsen;Miljøministeriet;Miljøministeriet;Miljømin., j.nr. 2021-1731;491;2021;DD000049;B20210049105;Lovtidende A;;Fremgår af forskriften;20210318;20210324;20210324;20210324;;FALSE;;;;;A20190026529;;;;https://www.retsinformation.dk/eli/lta/2021/491
B;Bekendtgørelse;Bekendtgørelse om offentlighedens adgang og rekreative brug af Naturområdet Skjern Enge;;Miljøministeriet;Styrelsen for Vand- og Naturforvaltning;Miljø- og Fødevaremin.,\nNaturstyrelsen, j.nr. 010-00222;932;2016;CK000782;B20160093205;Lovtidende A;;Fremgår af forskriften;20160627;20160630;20160630;20160630;;FALSE;;;;;A20150153229;;;;https://www.retsinformation.dk/eli/lta/2016/932
B;Bekendtgørelse;Bekendtgørelse om regulering af ringdue, grågås, bramgås og canadagås i Dragør og Tårnby Kommuner;Lufthavnsbekendtgørelsen;Miljøministeriet;Miljøministeriet;Miljømin., j.nr. 2021-932;2242;2021;DD000132;B20210224205;Lovtidende A;;Fremgår af forskriften;20211126;20211203;20211203;20211203;;FALSE;;;;;A20190026529;;;;https://www.retsinformation.dk/eli/lta/2021/2242
B;Bekendtgørelse;Bekendtgørelse om udsætning af vildt, jagtmåder og jagtredskaber;;Miljøministeriet;Miljøstyrelsen;Miljø- og Fødevaremin.,\nMiljøstyrelsen, j.nr. SVANA-600-00022;1652;2017;CK001569;B20170165205;Lovtidende A;;Fremgår af forskriften;20171219;20171223;20171223;20171223;;FALSE;;;;;A20190026529;;;;https://www.retsinformation.dk/eli/lta/2017/1652
B;Bekendtgørelse;Bekendtgørelse om Nærå-Agernæs Vildtreservat;;Miljøministeriet;Miljøstyrelsen;Miljø- og Fødevaremin.,\n Miljøstyrelsen, j.nr. MST-565-00007;228;2019;CK001818;B20190022805;Lovtidende A;;Fremgår af forskriften;20190312;20190314;20190314;20190314;;FALSE;;;;;A20190026529;;;;https://www.retsinformation.dk/eli/lta/2019/228
